id,Valid test,Lap Shear joint substrate aluminum thickness (m),Average thickness of the adhesive layer (m),Spacer shim thickness (m),Fillet,Mixing to Applied Pressure Time (s),Temperature at sample preparation (°C),Humidity at sample preparation (%),Actual experimental test temperature (°C),Test humidity (%),Extension shift (in),Max load (N),Max strength (Pa),Extension at Max Load (m),Area under the curve to max load - Riemann Sums (N.mm),Extension at complete failure (m),Total under the curve - Riemann Sums (N.mm),Adhesive underfilled,Adhesive fill quality,Mode-of-failure,Test frame,Load cell
64,1,0.00114,0.0004,0.000381,0,2100,22.8,49,25,48,-0.0118,3970,12300000,0.00142,2790,0.00143,2820,0,4,1,1,1
65,1,0.00114,0.000359,0.000381,0,2100,23.1,49,25,48,-0.0118,4560,14100000,0.00123,3050,0.00124,3070,0,4,1,1,1
66,1,0.00114,0.000388,0.000381,0,2100,23.1,49,25,48,-0.0118,4550,14100000,0.0016,3530,0.00161,3580,0,4,1,1,1
67,1,0.00114,0.000402,0.000381,0,2100,23.1,49,25,48,-0.0118,4340,13500000,0.00162,3330,0.00162,3350,0,4,1,1,1
68,1,0.00114,0.000364,0.000381,0,2100,23.1,49,25,48,-0.0104,4650,14400000,0.00166,3680,0.00167,3690,0,4,1,1,1
69,1,0.00114,0.000408,0.000381,0,2100,23.1,49,25,48,-0.0128,3640,11300000,0.00149,2410,0.00152,2480,0,4,1,1,1
70,1,0.00114,0.000489,0.000381,0,2100,23.1,49,25,48,-0.0124,4240,13100000,0.00157,3100,0.00158,3120,0,4,1,1,1
71,1,0.00114,0.000448,0.000381,0,2100,23.1,49,25,49,-0.00984,5120,15900000,0.00195,4320,0.00195,4330,0,3,1,1,1
72,1,0.00114,0.000471,0.000381,0,2100,23.1,49,25,48,-0.0112,2370,7340000,0.000979,1180,0.00183,1260,0,4,1,1,1
73,1,0.00114,0.000459,0.000381,0,2100,23.1,49,25,48,-0.0108,4350,13500000,0.0017,3230,0.00171,3240,0,4,1,1,1
74,1,0.00114,0.000515,0.000381,0,2100,23.1,49,25,47,-0.0108,3670,11400000,0.0015,2410,0.0015,2420,0,4,1,1,1
75,1,0.00114,0.000389,0.000381,0,2100,23.1,49,25,47,-0.00984,3190,9900000,0.00088,1430,0.00089,1450,0,4,1,1,1
76,1,0.00114,0.000416,0.000381,0,2100,23.1,49,25.4,46,-0.00787,3780,11700000,0.00112,2260,0.00112,2280,0,4,1,1,1
77,1,0.00114,0.000355,0.000381,0,2100,23.1,49,25.5,46,-0.00886,3960,12300000,0.0011,2270,0.00111,2280,0,4,1,1,1
78,1,0.00114,0.000445,0.000381,0,2100,23.1,49,25.5,46,-0.0104,2830,8770000,0.00084,1320,0.000845,1320,0,4,1,1,1
79,1,0.00114,0.00041,0.000381,0,2100,23.1,49,25.5,46,-0.00846,3490,10800000,0.000996,1820,0.001,1830,0,4,1,1,1
80,1,0.00152,0.000435,0.000381,0,2100,23.1,49,25.5,46,-0.00886,4540,14100000,0.00119,2880,0.00121,2920,0,4,1,1,1
81,1,0.00152,0.000365,0.000381,0,2100,23.1,49,25.6,46,-0.00787,4440,13800000,0.00105,2530,0.00107,2580,0,4,1,1,1
82,1,0.00152,0.000384,0.000381,0,2100,23.1,49,25,46,-0.00846,4230,13100000,0.00113,2480,0.00115,2540,0,4,1,1,1
83,1,0.00152,0.000406,0.000381,0,2100,23.1,49,25,46,-0.00846,4540,14100000,0.00134,3060,0.00136,3130,0,4,1,1,1
84,1,0.00152,0.000413,0.000381,0,2100,23.1,49,25,46,-0.00886,5230,16200000,0.00144,3910,0.00144,3920,0,4,1,1,1
85,1,0.00152,0.000339,0.000381,0,2100,23.1,49,25.4,47,-0.00925,4310,13400000,0.00121,2680,0.00121,2690,0,4,1,1,1
86,1,0.00152,0.000393,0.000381,0,2100,23.1,49,25.5,47,-0.00984,4420,13700000,0.00114,2640,0.00115,2660,0,4,1,1,1
87,1,0.00152,0.000422,0.000381,0,2100,23.1,49,25.5,46,-0.00846,3300,10200000,0.000797,1370,0.000804,1380,0,4,1,1,1
88,1,0.00152,0.00038,0.000381,0,2100,23.1,49,25.5,46,-0.00886,3700,11500000,0.000903,1780,0.000914,1800,0,4,1,1,1
89,1,0.00152,0.000298,0.000381,0,2100,23.1,49,25.5,46,-0.00886,3510,10900000,0.000785,1470,0.000791,1480,0,4,1,1,1
90,1,0.00152,0.000389,0.000381,0,2100,23.1,49,25.4,48,-0.00846,2650,8230000,0.000812,1130,0.000832,1180,0,4,1,1,1
91,1,0.00152,0.000477,0.000381,0,2100,23.1,49,25.5,47,-0.00886,4010,12400000,0.00138,2680,0.0014,2750,0,4,1,1,1
92,1,0.00152,0.000537,0.000381,0,2100,23.1,49,25.4,48,-0.0108,4380,13600000,0.00126,2920,0.00127,2970,0,4,1,1,1
93,1,0.00152,0.000579,0.000381,0,2100,23.1,49,25.5,48,-0.00787,3460,10700000,0.00105,1750,0.00105,1750,0,4,1,1,1
94,1,0.00152,0.000474,0.000381,0,2100,23.1,49,25.4,48,-0.00984,4200,13000000,0.00134,2670,0.00136,2720,0,4,1,1,1
95,1,0.00152,0.000377,0.000381,0,2100,23.1,49,25.3,47,-0.0108,3870,12000000,0.0012,2270,0.0012,2280,0,4,1,1,1
96,1,0.00152,0.000394,0.000381,0,2100,23.1,49,25.3,48,-0.00886,3660,11300000,0.000882,1770,0.000895,1800,0,4,1,1,1
97,1,0.00152,0.000374,0.000381,0,2100,23.1,49,25,47,-0.0118,3480,10800000,0.000762,1440,0.000804,1580,0,4,1,1,1
98,1,0.00152,0.000379,0.000381,0,2100,23.1,49,25,49,-0.0118,3730,11600000,0.00102,2010,0.00103,2020,0,4,1,1,1
99,1,0.00152,0.000371,0.000381,0,2100,23.1,49,25.2,48,-0.063,2950,9130000,0.000868,1360,0.000873,1370,0,4,1,1,1
100,1,0.00229,0.000355,0.000381,0,2100,23.1,49,25,49,-0.00886,6620,20500000,0.00176,5480,0.00178,5610,0,4,1,1,1
101,1,0.00229,0.000333,0.000381,0,2100,23.1,49,25,48,-0.00886,6480,20100000,0.00168,5210,0.00169,5260,0,4,1,1,1
102,1,0.00229,0.000359,0.000381,0,2100,23.1,49,25,48,-0.00886,4160,12900000,0.00106,2270,0.00107,2310,0,4,1,1,1
103,1,0.00229,0.000365,0.000381,0,2100,23.1,49,25,48,-0.00984,5670,17600000,0.00144,4120,0.00146,4160,0,4,1,1,1
104,1,0.00229,0.000358,0.000381,0,2100,23.1,49,25.3,48,-0.0108,5860,18200000,0.00154,4370,0.00155,4390,0,4,1,1,1
105,1,0.00229,0.000345,0.000381,0,2100,23.1,49,25,48,-0.00945,7210,22400000,0.00179,6560,0.00181,6710,0,4,1,1,1
106,1,0.00229,0.000337,0.000381,0,2100,23.1,49,25,48,-0.0108,6740,20900000,0.00205,6240,0.00206,6290,0,3,1,1,1
107,1,0.00229,0.000371,0.000381,0,2100,23.1,49,25,48,-0.00886,5610,17400000,0.00139,4010,0.00142,4170,0,4,1,1,1
108,1,0.00229,0.000329,0.000381,0,2100,23.1,49,25.3,49,-0.0118,6390,19800000,0.00142,4870,0.00143,4920,0,4,1,1,1
109,1,0.00229,0.000336,0.000381,0,2100,23.1,49,25.4,48,-0.00984,5570,17300000,0.00142,4040,0.00143,4090,0,4,1,1,1
110,1,0.00229,0.000421,0.000381,0,2100,23.1,49,25.5,48,-0.00984,6180,19200000,0.0013,4280,0.0013,4300,0,4,1,1,1
111,1,0.00229,0.000346,0.000381,0,2100,23.1,49,25.6,49,-0.00984,5710,17700000,0.00152,4310,0.00153,4330,0,4,1,1,1
112,1,0.00229,0.000411,0.000381,0,2100,23.1,49,25.5,48,-0.00886,5960,18500000,0.00147,4340,0.00148,4370,0,4,1,1,1
113,1,0.00229,0.000316,0.000381,0,2100,23.1,49,25.5,48,-0.0104,2690,8350000,0.000484,690,0.000494,708,0,2,1,1,1
114,1,0.00229,0.000415,0.000381,0,2100,23.1,49,25.4,49,-0.00925,3020,9360000,0.000952,1440,0.000968,1480,0,3,1,1,1
115,1,0.00229,0.000448,0.000381,0,2100,23.1,49,25.7,48,-0.0108,4760,14800000,0.00132,3140,0.00133,3150,0,4,1,1,1
116,1,0.00229,0.000449,0.000381,0,2100,23.1,49,25.7,49,-0.00925,4010,12400000,0.0011,2160,0.0011,2170,0,4,1,1,1
117,1,0.00229,0.000447,0.000381,0,2100,23.1,49,25.7,49,-0.00886,3540,11000000,0.000977,1740,0.000982,1750,0,4,1,1,1
118,1,0.00229,0.000441,0.000381,0,2100,23.1,49,25.6,49,-0.00925,3530,10900000,0.0011,1920,0.0011,1920,0,4,1,1,1
119,1,0.00229,0.000445,0.000381,0,2100,23.1,49,25.6,48,-0.00984,4850,15000000,0.00135,3180,0.00135,3190,0,4,1,1,1
